canonical	preferred_dir	preferred_path	preferred_frontmatter_name	aliases
developer-iteration-prompt	developer-iteration-prompt	.codex/skills/developer-iteration-prompt/SKILL.md	developer-iteration-prompt-164e2e	
developer-system-prompt	developer-system-prompt	.codex/skills/developer-system-prompt/SKILL.md	developer-system-prompt-b905be	
devops-ci-cd	devops-ci-cd	.codex/skills/devops-ci-cd/SKILL.md	devops-ci-cd-c021f0	skills-devops-ci-cd-skill
diff-validator	diff-validator	.codex/skills/diff-validator/SKILL.md	diff-validator-20835c	
disk-execution-env	disk-execution-env	.codex/skills/disk-execution-env/SKILL.md	disk-execution-env-76d7d8	
doc	doc	.codex/skills/doc/SKILL.md	doc-7d9d93	-curated-doc-skill
doc-snippets	doc-snippets	.codex/skills/doc-snippets/SKILL.md	doc-snippets-363a27	
documentation-update	documentation-update	.codex/skills/documentation-update/SKILL.md	documentation-update-24d570	
dynamic-instrumentation	dynamic-instrumentation	.codex/skills/dynamic-instrumentation/SKILL.md	dynamic-instrumentation-3d0d90	
environment-setup	environment-setup	.codex/skills/environment-setup/SKILL.md	environment-setup-d662c2	
epic-breakdown	epic-breakdown	.codex/skills/epic-breakdown/SKILL.md	epic-breakdown-523935	
error-handler	error-handler	.codex/skills/error-handler/SKILL.md	error-handler-16735e	
execution-order	execution-order	.codex/skills/execution-order/SKILL.md	execution-order-aab3cb	
executor	executor	.codex/skills/executor/SKILL.md	executor-9b6688	
external-docs	external-docs	.codex/skills/external-docs/SKILL.md	external-docs-482eb9	
external-docs-system-prompt	external-docs-system-prompt	.codex/skills/external-docs-system-prompt/SKILL.md	external-docs-system-prompt-9209bb	
fast-planning	fast-planning	.codex/skills/fast-planning/SKILL.md	fast-planning-536e92	
features-list	features-list	.codex/skills/features-list/SKILL.md	features-list-3e74ac	
figma	figma	.codex/skills/figma/SKILL.md	figma-1ef69b	-curated-figma-skill
figma-implement-design	figma-implement-design	.codex/skills/figma-implement-design/SKILL.md	figma-implement-design-30c52c	-curated-figma-implement-design-skill
file-naming	file-naming	.codex/skills/file-naming/SKILL.md	file-naming-f75897	
file-size-limit	file-size-limit	.codex/skills/file-size-limit/SKILL.md	file-size-limit-258fc2	
files	files	.codex/skills/files/SKILL.md	files-aed20c	
files-descriptions	files-descriptions	.codex/skills/files-descriptions/SKILL.md	files-descriptions-1837eb	
files-dict-manager	files-dict-manager	.codex/skills/files-dict-manager/SKILL.md	files-dict-manager-638444	
files-list	files-list	.codex/skills/files-list/SKILL.md	files-list-56e5d6	
files-list-relevant	files-list-relevant	.codex/skills/files-list-relevant/SKILL.md	files-list-relevant-5f16d2	
filter-files	filter-files	.codex/skills/filter-files/SKILL.md	filter-files-da3e4f	
fixissueno-prompt	fixissueno-prompt	.codex/skills/fixissueno-prompt/SKILL.md	fixissueno-prompt-f465d9	
frontend	frontend	.codex/skills/frontend/SKILL.md	frontend-c0f2e7	
frontend-builder	frontend-builder	.codex/skills/frontend-builder/SKILL.md	frontend-builder-b89a6f	
frontend-design	frontend-design	.codex/skills/frontend-design/SKILL.md	frontend-design-ee6a99	skills-frontend-design-skill
frontend-engineering	frontend-engineering	.codex/skills/frontend-engineering/SKILL.md	frontend-engineering-1268bc	skills-frontend-engineering-skill
frontend-system-prompt	frontend-system-prompt	.codex/skills/frontend-system-prompt/SKILL.md	frontend-system-prompt-0941b1	
frontend-wizard	frontend-wizard	.codex/skills/frontend-wizard/SKILL.md	frontend-wizard-231434	
gdb-memory-dumper	gdb-memory-dumper	.codex/skills/gdb-memory-dumper/SKILL.md	gdb-memory-dumper-8046da	
get-alternative-solutions	get-alternative-solutions	.codex/skills/get-alternative-solutions/SKILL.md	get-alternative-solutions-102915	
get-bug-reproduction-instructions	get-bug-reproduction-instructions	.codex/skills/get-bug-reproduction-instructions/SKILL.md	get-bug-reproduction-instructions-2c583d	
get-entrypoints	get-entrypoints	.codex/skills/get-entrypoints/SKILL.md	get-entrypoints-deb9de	
get-route-files	get-route-files	.codex/skills/get-route-files/SKILL.md	get-route-files-11f0e1	
get-run-command	get-run-command	.codex/skills/get-run-command/SKILL.md	get-run-command-725cb2	
gh-address-comments	gh-address-comments	.codex/skills/gh-address-comments/SKILL.md	gh-address-comments-a9cb77	-curated-gh-address-comments-skill
gh-cli	gh-cli	.codex/skills/gh-cli/SKILL.md	gh-cli-d2b9ad	
gh-fix-ci	gh-fix-ci	.codex/skills/gh-fix-ci/SKILL.md	gh-fix-ci-c8b037	-curated-gh-fix-ci-skill
git	git	.codex/skills/git/SKILL.md	git-d65bc5	
git-automation	git-automation	.codex/skills/git-automation/SKILL.md	git-automation-d9340b	
git-commit	git-commit	.codex/skills/git-commit/SKILL.md	git-commit-133cb6	
github-actions-debugging	github-actions-debugging	.codex/skills/github-actions-debugging/SKILL.md	github-actions-debugging-000570	
github-issues	github-issues	.codex/skills/github-issues/SKILL.md	github-issues-c8671b	
github-mcp-server-cli	github-mcp-server-cli	.codex/skills/github-mcp-server-cli/SKILL.md	github-mcp-server-cli-29b7f0	
gpt-engineer-acp	gpt-engineer-acp	.codex/skills/gpt-engineer-acp/SKILL.md	gpt-engineer-acp-e1d639	
gpt-engineer-core	gpt-engineer-core	.codex/skills/gpt-engineer-core/SKILL.md	gpt-engineer-core-438553	
hook-development	hook-development	.codex/skills/hook-development/SKILL.md	hook-development	skills-hook-development-skill
human-input	human-input	.codex/skills/human-input/SKILL.md	human-input-78e7dc	
human-intervention-explanation	human-intervention-explanation	.codex/skills/human-intervention-explanation/SKILL.md	human-intervention-explanation-0a1347	
image-manipulation-image-magick	image-manipulation-image-magick	.codex/skills/image-manipulation-image-magick/SKILL.md	image-manipulation-image-magick-bb10ca	
imagegen	imagegen	.codex/skills/imagegen/SKILL.md	imagegen-588fed	-curated-imagegen-skill
implement-changes	implement-changes	.codex/skills/implement-changes/SKILL.md	implement-changes-7f75a5	
implement-prompt	implement-prompt	.codex/skills/implement-prompt/SKILL.md	implement-prompt-0182ac	
importer	importer	.codex/skills/importer/SKILL.md	importer-50b5e2	
instructions-from-human-hint	instructions-from-human-hint	.codex/skills/instructions-from-human-hint/SKILL.md	instructions-from-human-hint-4a9f01	
internal-overview	internal-overview	.codex/skills/internal-overview/SKILL.md	internal-overview-59b1d5	
is-relevant-for-docs-search	is-relevant-for-docs-search	.codex/skills/is-relevant-for-docs-search/SKILL.md	is-relevant-for-docs-search-2a902f	
issue-resolution	issue-resolution	.codex/skills/issue-resolution/SKILL.md	issue-resolution-ce8386	
issue-triage	issue-triage	.codex/skills/issue-triage/SKILL.md	issue-triage-bb8d48	
iterate-frontend	iterate-frontend	.codex/skills/iterate-frontend/SKILL.md	iterate-frontend-989243	
iteration	iteration	.codex/skills/iteration/SKILL.md	iteration-13c503	
